# bankSEC	db	parent	parentLoc	parentEmp
http://edgarwrap-hrd.appspot.com/cik/872821#id	http://dbpedia.org/resource/Wilmington_Trust	http://dbpedia.org/resource/M&T_Bank	http://dbpedia.org/resource/One_M&T_Plaza	15368
http://edgarwrap-hrd.appspot.com/cik/872821#id	http://dbpedia.org/resource/Wilmington_Trust	http://dbpedia.org/resource/M&T_Bank	http://dbpedia.org/resource/United_States	15368
http://edgarwrap-hrd.appspot.com/cik/872821#id	http://dbpedia.org/resource/Wilmington_Trust	http://dbpedia.org/resource/M&T_Bank	http://dbpedia.org/resource/Buffalo,_New_York	15368
