# db	emp	bankSEC	netIncomeLoss
http://dbpedia.org/resource/M&T_Bank	15666	http://edgarwrap-hrd.appspot.com/cik/36270#id	115409000
http://dbpedia.org/resource/Associated_Banc-Corp	4517	http://edgarwrap-hrd.appspot.com/cik/7789#id	25384000
